+------------------------------+-------------------------+----------+-------+------+-----+-------------------+-------------------+
| 表                           | 字段                    | 类型     | 长度  | 可空 | 键  | 默认值            | 额外              |
+------------------------------+-------------------------+----------+-------+------+-----+-------------------+-------------------+
| ai_recommendation_configs    | id                      | int      |  NULL | NO   | PRI | NULL              | auto_increment    |
| ai_recommendation_configs    | config_key              | varchar  |   100 | NO   | UNI | NULL              |                   |
| ai_recommendation_configs    | config_value            | json     |  NULL | YES  |     | NULL              |                   |
| ai_recommendation_configs    | description             | varchar  |   500 | YES  |     | NULL              |                   |
| ai_recommendation_configs    | is_active               | tinyint  |  NULL | YES  |     | NULL              |                   |
| ai_recommendation_configs    | created_at              | datetime |  NULL | YES  |     | now()             | DEFAULT_GENERATED |
| ai_recommendation_configs    | updated_at              | datetime |  NULL | YES  |     | now()             | DEFAULT_GENERATED |
| alembic_version              | version_num             | varchar  |    32 | NO   | PRI | NULL              |                   |
| blacklist                    | id                      | int      |  NULL | NO   | PRI | NULL              | auto_increment    |
| blacklist                    | user_id                 | int      |  NULL | NO   | MUL | NULL              |                   |
| blacklist                    | blocked_user_id         | int      |  NULL | NO   | MUL | NULL              |                   |
| blacklist                    | created_at              | datetime |  NULL | YES  |     | NULL              |                   |
| buy_request_likes            | id                      | int      |  NULL | NO   | PRI | NULL              | auto_increment    |
| buy_request_likes            | user_id                 | int      |  NULL | YES  | MUL | NULL              |                   |
| buy_request_likes            | buy_request_id          | int      |  NULL | YES  | MUL | NULL              |                   |
| buy_request_likes            | created_at              | datetime |  NULL | YES  |     | CURRENT_TIMESTAMP | DEFAULT_GENERATED |
| buy_requests                 | id                      | int      |  NULL | NO   | PRI | NULL              | auto_increment    |
| buy_requests                 | user_id                 | int      |  NULL | NO   | MUL | NULL              |                   |
| buy_requests                 | title                   | varchar  |   100 | NO   |     | NULL              |                   |
| buy_requests                 | description             | text     | 65535 | YES  |     | NULL              |                   |
| buy_requests                 | budget                  | decimal  |  NULL | YES  |     | NULL              |                   |
| buy_requests                 | created_at              | datetime |  NULL | YES  |     | now()             | DEFAULT_GENERATED |
| buy_requests                 | images                  | varchar  |   500 | YES  |     | NULL              |                   |
| buy_requests                 | like_count              | int      |  NULL | YES  |     | 0                 |                   |
| buy_requests                 | category                | int      |  NULL | YES  |     | 7                 |                   |
| comment_likes                | id                      | int      |  NULL | NO   | PRI | NULL              | auto_increment    |
| comment_likes                | user_id                 | int      |  NULL | YES  | MUL | NULL              |                   |
| comment_likes                | comment_id              | int      |  NULL | YES  | MUL | NULL              |                   |
| comment_likes                | created_at              | datetime |  NULL | YES  |     | CURRENT_TIMESTAMP | DEFAULT_GENERATED |
| comments                     | id                      | int      |  NULL | NO   | PRI | NULL              | auto_increment    |
| comments                     | content                 | varchar  |   500 | NO   |     | NULL              |                   |
| comments                     | user_id                 | int      |  NULL | YES  | MUL | NULL              |                   |
| comments                     | item_id                 | int      |  NULL | YES  | MUL | NULL              |                   |
| comments                     | buy_request_id          | int      |  NULL | YES  | MUL | NULL              |                   |
| comments                     | parent_id               | int      |  NULL | YES  | MUL | NULL              |                   |
| comments                     | reply_to_user_id        | int      |  NULL | YES  | MUL | NULL              |                   |
| comments                     | created_at              | datetime |  NULL | YES  |     | now()             | DEFAULT_GENERATED |
| comments                     | like_count              | int      |  NULL | YES  |     | 0                 |                   |
| favorites                    | id                      | int      |  NULL | NO   | PRI | NULL              | auto_increment    |
| favorites                    | user_id                 | int      |  NULL | YES  | MUL | NULL              |                   |
| favorites                    | item_id                 | int      |  NULL | YES  | MUL | NULL              |                   |
| favorites                    | created_at              | datetime |  NULL | YES  |     | NULL              |                   |
| feedbacks                    | id                      | int      |  NULL | NO   | PRI | NULL              | auto_increment    |
| feedbacks                    | user_id                 | int      |  NULL | NO   | MUL | NULL              |                   |
| feedbacks                    | content                 | varchar  |  1000 | NO   |     | NULL              |                   |
| feedbacks                    | status                  | varchar  |    20 | YES  |     | NULL              |                   |
| feedbacks                    | created_at              | datetime |  NULL | YES  |     | NULL              |                   |
| feedbacks                    | solved_at               | datetime |  NULL | YES  |     | NULL              |                   |
| friends                      | id                      | int      |  NULL | NO   | PRI | NULL              | auto_increment    |
| friends                      | user_id                 | int      |  NULL | NO   | MUL | NULL              |                   |
| friends                      | friend_id               | int      |  NULL | NO   | MUL | NULL              |                   |
| friends                      | created_at              | datetime |  NULL | YES  |     | NULL              |                   |
| item_likes                   | id                      | int      |  NULL | NO   | PRI | NULL              | auto_increment    |
| item_likes                   | user_id                 | int      |  NULL | YES  | MUL | NULL              |                   |
| item_likes                   | item_id                 | int      |  NULL | YES  | MUL | NULL              |                   |
| item_likes                   | created_at              | datetime |  NULL | YES  |     | CURRENT_TIMESTAMP | DEFAULT_GENERATED |
| item_sorting_metrics         | id                      | int      |  NULL | NO   | PRI | NULL              | auto_increment    |
| item_sorting_metrics         | item_id                 | int      |  NULL | NO   | MUL | NULL              |                   |
| item_sorting_metrics         | time_window_start       | datetime |  NULL | NO   |     | NULL              |                   |
| item_sorting_metrics         | time_window_end         | datetime |  NULL | NO   |     | NULL              |                   |
| item_sorting_metrics         | views_count             | int      |  NULL | YES  |     | NULL              |                   |
| item_sorting_metrics         | likes_count             | int      |  NULL | YES  |     | NULL              |                   |
| item_sorting_metrics         | favorites_count         | int      |  NULL | YES  |     | NULL              |                   |
| item_sorting_metrics         | messages_count          | int      |  NULL | YES  |     | NULL              |                   |
| item_sorting_metrics         | seller_activity_score   | float    |  NULL | YES  |     | NULL              |                   |
| item_sorting_metrics         | position_rank           | int      |  NULL | YES  |     | NULL              |                   |
| item_sorting_metrics         | created_at              | datetime |  NULL | YES  |     | now()             | DEFAULT_GENERATED |
| item_sorting_weights         | id                      | int      |  NULL | NO   | PRI | NULL              | auto_increment    |
| item_sorting_weights         | item_id                 | int      |  NULL | NO   | MUL | NULL              |                   |
| item_sorting_weights         | time_period             | varchar  |    20 | NO   |     | NULL              |                   |
| item_sorting_weights         | base_weight             | float    |  NULL | YES  |     | NULL              |                   |
| item_sorting_weights         | trend_weight            | float    |  NULL | YES  |     | NULL              |                   |
| item_sorting_weights         | position_weight         | float    |  NULL | YES  |     | NULL              |                   |
| item_sorting_weights         | final_weight            | float    |  NULL | YES  |     | NULL              |                   |
| item_sorting_weights         | ranking_position        | int      |  NULL | YES  |     | NULL              |                   |
| item_sorting_weights         | created_at              | datetime |  NULL | YES  |     | now()             | DEFAULT_GENERATED |
| items                        | id                      | int      |  NULL | NO   | PRI | NULL              | auto_increment    |
| items                        | title                   | varchar  |   100 | NO   |     | NULL              |                   |
| items                        | description             | text     | 65535 | YES  |     | NULL              |                   |
| items                        | price                   | float    |  NULL | NO   |     | NULL              |                   |
| items                        | condition               | varchar  |    20 | YES  |     | NULL              |                   |
